;Pays;NbHab;Capitale;DensitePop (hab/km2);PIB (milliard);dejaVisite;commentaires
1;Canada;33476688;ottawa;4;1303;O;Le plus beau pays du Monde
2;USA;317627401;washington;32;15064;O;
3;Royaume-Uni;62698363;londres;253;2480;O;
4;France;65350000;paris;97;2808;O;
5;Espagne;46754784;madrid;93;1611;O;
6;Italie;59464644;rome;199;2313;N;
7;Mexique;112336538;mexico;57;\N;N;
8;Japon;127078679;tokyo;337;5391;N;
9;Chine;1350000000;pékin;\N;\N;N;
10;Afrique du Sud;51770560;pretoria;42;\N;N;
11;Argentine;40667348;buenos aires;14;\N;N;
12;Brésil;192376496;brasilia;22;2517;N;
13;Corée du Sud;48754657;séoul;488;1356;N;
14;Inde;1210193422;bombay;382;1237;N;
15;Indonésie;244968342;jakarta;126;\N;N;
16;Arabie Saoudite;28376355;riyad;13;\N;N;
17;Turquie;74724269;istambul;97;1105;N;
18;Russie;143030106;moscou;8;1884;N;
19;Allemagne;81471834;berlin;230;3900;N;
20;Australie;22607571;sydney;2;\N;N;
